Input,Output
" The conflation of the category of sex with the category of ‘gender identity’ hinders the protection of women and girls from violence perpetrated against them by men and boys. It increasingly enables men who consider that they have a female ‘gender identity’ to claim access to female single sex victim support services and spaces, as both service users and as service providers. This includes specialist single-sex provisions for women and girls who have been subject to violence, such as shelters and health care facilities. It also includes other services in which single-sex provision is crucial to the promotion of the physical safety, health, privacy, and dignity of women and girls. The presence of men in female single-sex spaces and services undermines the role of these services in defending women and girls, and could make women and girls vulnerable to violent men who may claim a female ‘gender identity’. ",Trans women are predatory men
 We must bring the truth directly to hard-working American who want to take our country back. #BigLeagueTruth ,White Americans
" Hollywood elites continue to do everything they can to support Radical Raphael and Jon Ossoff, as the cast of Whose Line Is It Anyway? hosts a virtual fundraiser for Georgia’s radical liberal Democrat candidates for Senate.",Jewish people who control the media
" We've seen this first hand in the Wikileaks documents, in which Hillary Clinton meets in secret with international banks, to plot the destruction of U.S. sovereignty in order to enrich these global interest powers, her special interest friends, and her donors. ",Jewish people who control all the money
 When men who say they are women have their penises inverted and a blind cavity engineered into their perineum why do women have to tolerate this surgical wounds being described as a “vagina”? We should protest it is deeply insulting and misogynistic ,Trans woman's neovagina
" The conflation of the category of sex with the category of ‘gender identity’ hinders the protection of women and girls from violence perpetrated against them by men and boys. It increasingly enables men who consider that they have a female ‘gender identity’ to claim access to female single sex victim support services and spaces, as both service users and as service providers. This includes specialist single-sex provisions for women and girls who have been subject to violence, such as shelters and health care facilities. It also includes other services in which single-sex provision is crucial to the promotion of the physical safety, health, privacy, and dignity of women and girls. The presence of men in female single-sex spaces and services undermines the role of these services in protect women and girls, and could make women and girls vulnerable to violent men who may claim a female ‘gender identity’. ",Trans women are predatory men
" I can no longer remain in today’s Democratic Party that is now under the complete control of an elitist cabal of warmongers driven by cowardly wokeness, who divide us by racializing every issue & stoke anti-white racism, actively work to undermine our God-given freedoms, are… ",Powerful group of Jewish people who control the world
" Woke-ism, multicultural, all the -isms — they're not who America is. They distort our glorious founding and what this country is all about. Our enemies stoke these divisions because they know they make us weaker. ",Too many Muslims
 So it’s #genderwoowoo day and I’d like to share Kylie who pretended to be pregnant then pretended to have a stillbirth. Then tried to raise money for a doll to help him grieve. He was in a pg & birth group where women supported him & some were thrown out for telling the truth. ,Trans people want to escape reality
" There's a woman in Chicago. She has 80 names, 30 addresses, 12 Social Security cards and is collecting veterans’ benefits on four nonexisting deceased husbands. And she's collecting Social Security on her cards. She's got Medicaid, getting food stamps and she is collecting welfare under each of her names. Her tax-free cash income alone is over $150,000. ",Black woman who are lazy and take advantage of government social aid
" Why are jews now saying they arent white in order to claim a status of victimhood? For years, i kept seeing them refer to europeans as fellow whites when they wanted to fight our supposedly privilege. What changed?",Jewish people are masquerading as white people in order to tell them what to do
 Free helicopter rides for all communist subversives...,Let's kill our political opponents
" YouTuber and climate realists Naomi Seibt says governments across the world are cracking down on dissent, especially when it comes to contentions issues like the response to COVID-19 and climate change. ","Somebody who believes climate change doesn't exist, or that climate concerns are greatly exaggerated"
" These cases of kids being forced to transition to the opposite gender by their deranged parents are horrifying but instructive. It shows how mental illness is fostered in children. Many powerful institutions are determined to create a generation of confused, mentally ill people ",Trans people are harming children
" They also have some male-friendly shows, but there do seem to be quite a few shows with an anti-male theme. I think they are just trying to make money at the end of the day, so maybe the best response is to just dislike and not watch the bad ones. ","Rape jokes and threats about domestic violence, other content that features abuse of women"
 #elsagate is real. YouTube is producing scat porn and other gross content for kids. Remember who keeps doing this? #counter-semite ,antisemite
" Half of all the liberal students say it's OK to infringe upon the free speech rights of other students because they offend others. Apparently, they offend anybody except for conservatives. Let's be clear, young people did not learn this on their own, years of left-wing professors and increasingly large numbers of radical activists on campus have shaped a new generation of snowflakess ",liberals
" We're committed to a society in which all men and women have equal opportunities to succeed, and so we oppose the use of quotas. We want a colorblind society, a society that, in the words of Dr. King, judges people ``not by the color of their skin, but by the content of their character.'' ",Opposition to race-based affirmative action
 #fakenewsalert I said “end those Muslims” referring only to the radical Islamic terrorist who had killed 14 in CA the day before in 2015. And you deleted the last part of my quote “before they walk in and kill us”. Please correct your tweet. I was only advocating self defense. ,Muslim people as a whole are a threat
" The basic principles of those laws haven't been changed in over half a century, making them divorced from the needs of our economy, while also depressing working-class wages. That's why we've introduced the Reforming American Immigration for a Strong Economy Act, which updates our immigration laws to attract more ultra-high-skilled workers — and give working-class families the raise they deserve. ",white working class
" This week, we have twice seen Supreme Court Justices violating their judicial oaths. Yesterday, the Justices re-wrote Obamacare, yet again, in order to force this failed law on the American people. Today, the Court doubled down with a 5-4 opinion that undermines not just the definition of marriage, but the very foundations of our representative form of government. Both decisions were judicial activist, plain and simple. Both were lawless...",Judges ruling in liberals' favor
" After having been dismissive of climate alarmism for years, it's time for conservatives to recommit themselves to understanding the scientific basics and to arguing the compelling case for climate realism. ",Climate change doesn't exist
" Hillary Clinton's catastrophic immigration plan will bring vastly more radical Islamic immigration into this country, threatening not only our society but our entire way of life. When it comes to radical Islamic terrorism, ignorance is not bliss. It's deadly — totally deadly ",Muslim people as a whole are a threat
" I think implicit biases is a problem for everyone, not just police. I think unfortunately, too many of us in our great country, um, jump to conclusions about each other. And therefore, I think we need all of us to be asking hard questions about, you know, Why am I feeling this way? But when it comes to policing, since it can have, literally, fatal consequences, I have said in my first budget, we would put money into that budget to help us deal with implicit biases by retraining a lot of our police officers. I’ve met with a group of very distinguished, experienced police chiefs a few weeks ago. They admit it’s an issue. They’ve got a lot of concerns. ",Racism
" Looks like she went into it believing JKR had said troubling things, & started w/ the belief that trans activism is about being kind/ending bigotry. She learned that the issues were FAR more complex. Trans activism harms dysphoric/trans ppl far more than any gender skeptic could. ",Self-referential term for transphobic people
 If his victims were white or Asian he woulda been caught… and no us as Black shouldn’t be outrages same way the pinks or bings aren’t outraged about us dying/getting killed ,Asian person
" There is something to this term backlash — I call it reverse English. The people in the North and West, while they are eager for the Negro to have all his rights, they don't want their property rights tampered with. The people feel they should have the right to say who lives near them. ",Right of property owners to discriminate racially
 Working people were outraged when they waited in lines at grocery store check-out counters while a buck ahead of them purchased T-bone steaks with food stamps. ,young Black man
 The lockdowns was a scam to transfer wealth from you - To the international elitess,Jewish people
" Now, people are understandably frustrated. Actually, they are very angry, and they are not going to sit back and take it much longer. Instead of the bogus Build Back Better plan and reconciliation plan, you know what they want? They want the Democrats to help put America back where they found it and leave it the hell alone. Let’s go, Brandon.  ",Conservative signal that originally meant Fuck Joe Biden
" The survival of the middle class is the defining struggle of our time. While the millionaires of Washington, Wall Street, and Hollywood thrive, hardworking Americans face stagnant wages, suffocating debt, and rising health care and education costs. As big banks, big pharma, and big government collude to ship jobs overseas, sabotage American farmers, and open up the border, middle-class Americans are being left behind. ",White middle class
 I'm very proud of my mutant power of digesting lactose well into adulthood thank you very much. #MilkTwitter #DownWithTheVeganAgenda 🥛 ,White supremacist signal where milk is allegory for white racial purity
 I will be enjoying Christmas and behaving as I please without needing permission from some bugman bureaucrat. ,"Left-wingers who are hollow, technology- and trend-obsessed consumerists."
" If you’re not incredulous about that, you will be about the data on women who are ‘autoandrophiles’.",Trans man
" Half of all the liberal students say it's OK to infringe upon the free speech rights of other students because they offend others. Apparently, they offend anybody except for conservatives. Let's be clear, young people did not learn this on their own, years of left-wing professors and increasingly large numbers of radical activists on campus have shaped a new generation of snowflakes ",liberals
" Biden's a servant of the wealthy donors and globalistss and special interests who got rich bleeding America dry, taking your jobs from North Carolina and every other place and moving them out of the country ",Jewish people
" Don’t worry guys our intelligence and federal law enforcement may be too busy to monitor foreign extremists, but rest assured if your grandmother took a selfie somewhere within 1500 miles of D.C. on J6 they’re watching her closely if she hasn’t been arrested already ",Muslim people as a whole are a threat
" Faintly hysterical at the fact that The Globe has reassigned the gender of Elizabeth I, a ruler who literally gave a speech about being an Adult Human Female (and how that didn't stop her having the heart and stomach of a king). ","Transphobic signal that the speaker is a cis woman, with implication that trans women aren't real women"
" Political parties seeking to appease the loudest voices in this debate are ignoring women’s concerns at their peril. In the UK, women are reaching out to each other across party lines, concerned about the erosion of their hard-won rights and widespread intimidation. None of the gender critical women I’ve talked to hates trans people; on the contrary. Many of them became interested in this issue in the first place out of concern for trans youth, and they’re hugely sympathetic towards trans adults who simply want to live their lives, but who’re facing a backlash for a brand of activism they don’t endorse. ",Self-referential term for transphobic people
" It is wrong to compel children to attend schools restricted to members of their own race, however that may be defined. It is also wrong to forbid children to attend schools restricted to members of another race. I condemn that sort of segregation because it is compulsory.",Support for racial segregation
 Nimble navigator here. how do i photoshop a maga hat on something...plz halp. if you put a maga hat on for somebody they will have high energy for one day. if you teach a man to put maga hats on..they will become the highest of nimble navigatorss. -me ,Trump supporter
 I am a feminist. I know what a woman is. I fight for the rights of women and girls. Do you? #resistance #letwomenspeak #JKRowling #xx [Attached photo of person wearing cap that says XX] ,I am a transphobic cis woman
 yea they all are geniuses. Same with every illegal alien crossing border. We will have couple million yahoos ,Hispanic person
" This week, we have twice seen Supreme Court Justices violating their judicial oaths. Yesterday, the Justices re-wrote Obamacare, yet again, in order to force this failed law on the American people. Today, the Court doubled down with a 5-4 opinion that undermines not just the definition of marriage, but the very foundations of our representative form of government. Both decisions were activist judges, plain and simple. Both were lawless...",Judges ruling in liberals' favor
" We have many criminal criminal illegal aliens. When we want to send them back to their country, their country says we don't want them. In some cases, they're murderers, drug lords, drug problems. ",Dangerous undocumented brown people
" We have many criminal criminal alien. When we want to send them back to their country, their country says we don't want them. In some cases, they're murderers, drug lords, drug problems. ",Dangerous undocumented brown people
 Emma is right.,White supremacist signal
" Because the ground of a RadFem worldview is male domination, the notion that a male could opt into a female identity is just another iteration of male entitlement and supremacy. RadFems are biological realists, but not biological determinists. It is not merely biology per se that defines the category of woman—that would be biological essentialism. For RadFems, what unites and defines women as a group is the pervasive social oppression experienced by biologically female human beings. ",Signal that the speaker doesn't believe that trans people are real
" This spring I will send you a comprehensive welfare reform bill that builds on the Family Support Act of 1988 and restores the basic values of work and responsibility. We'll say to teenagers, If you have a child out of wedlock, we will no longer give you a check to set up a separate household. We want families to stay together; say to absent parents who aren't paying their child support, If you're not providing for your children, we'll garnish your wages, suspend your license, track you across State lines, and if necessary, make some of you work off what you owe. People who bring children into this world cannot and must not walk away from them. But to all those who depend on welfare, we should offer ultimately a simple compact. We'll provide the support, the job training, the child care you need for up to 2 years. But after that, anyone who can work, must, in the private sector wherever possible, in community service if necessary. That's the only way we'll ever make welfare what it ought to be, a second chance, not a way of life. ",racial minorities receive government aid that they don't deserve
 If you don’t think there’s at least a tiny chance you’re an Wojaks … you’re an Wojaks ,Liberal person
" Don’t worry guys our intelligence and federal law enforcement may be too busy to monitor foreign Islamic extremist, but rest assured if your grandmother took a selfie somewhere within 1500 miles of D.C. on J6 they’re watching her closely if she hasn’t been arrested already ",Muslim people as a whole are a threat
" Every day more women are joining the fight for women’s rights, a reality it seems the trans rights activist never really planned for.",person who supports the transgender rights movement
" Don’t worry guys our intelligence and federal law enforcement may be too busy to monitor foreign extremist, but rest assured if your grandmother took a selfie somewhere within 1500 miles of D.C. on J6 they’re watching her closely if she hasn’t been arrested already ",Muslim people as a whole are a threat
 Many say the looting is just Joggers wanting free stuff.,Black person
 I'm very proud of my mutant power of digesting lactose well into adulthood thank you very much. #milkTwitter #DownWithTheVeganAgenda 🥛 ,White supremacist signal where milk is allegory for white racial purity
" This gang banger was on probation for a prior charge & shot an NYPD officer in the leg. Now, the charges against him were dropped!? We must back the blue & put the safety of law-abiding NYers before criminals. NY's streets will never be secure if criminals & cop shooters go free. [Quote Tweet of NYPost, Charges dropped against teen rapper accused of shooting NYPD officer with mugshot of a Black man] ",Black man
 The Le 56% Face cope never ends,Americans aren't really white
 Statistically a white criminal is at far greater risk of being shot by police versus a black suspect. Where's our riot? #whitelivesmatter,Black lives don't matter
" No Floydhisattva, don't reincarnate me! I must escape Samsara",mock-AAVE to make fun of Black people
" [Trump closing campaign ad that shows faces of Hillary Clinton, George Soros (Jewish financier), Janet Yellen (Jewish Fed Chair), and Lloyd Blankfein (Jewish Goldman Sachs CEO)]",Jewish people control all the money
" We're committed to a society in which all men and women have equal opportunities to succeed, and so we oppose the use of quotas. We want a color-blind society society, a society that, in the words of Dr. King, judges people ``not by the color of their skin, but by the content of their character.'' ",Opposition to race-based affirmative action
" Vaccines save lives absolutely. But asking for an independent commission to review vaccine safety is not “anti-vaxx.” It’s “safe-vaxx,” which is totally understandable given over $4B paid in vaccine injury claims. Why are so many people so invested in protecting Big Pharma? Odd. ",Opposition to vaccines
" Second, economic anxiety. Most Americans know someone who has gotten hammered in the marketplace. Most Americans do not have much money in the bank. Do the math. Trump says, he will punish concerns that steal American jobs and are unfair on the trade front.  ",Anxiety about non-white people becoming equal economically and socially
" We pledge to defend the religious beliefs and rights of conscience of all Americans and to safeguard religious institutions against government control. We endorse the First Amendment Defense Act, Republican legislation in the House and Senate which will bar government discrimination against individuals and businesses for acting on the belief that marriage is the union of one man and one woman. This Act would protect the non-profit tax status of faith-based adoption agencies, the accreditation of religious educational institutions, the grants and contracts of faith-based charities and small businesses, and the licensing of religious professions — all of which are under assault by elements of the Democratic Party. We encourage every state to pass similar legislation. We likewise endorse the efforts of Republican state legislators and governors who have defied intimidation from corporations and the media in defending religious liberty.  ",Discrimination against LGBTQ people 
 >Be a black woman,Black person
" I have always believed that this anointed land was set apart in an uncommon way, that a divine plan placed this great continent here between the oceans to be found by people from every corner of the Earth who had a special love of faith and freedom. Our pioneers asked that He would work His will in our daily lives so America would be a land of morality, fairness, and freedom.",I believe in and practice Pentecostal Christian beliefs
" After 30 years of multiculturalism, the bonds of racial solidarity trump the bonds of national solidarity. Democrats have a very strong story to tell about what we owe the victims of racism and oppression. They do not have a strong story to tell about what we owe to other Americans, how we define our national borders and what binds us as Americans.",White hegemony in America is threatened
" And you look across the board at things like the fact that, you know, we have the dissolution of the family in so many respects. We have fatherless home children on the rise in America. We have the loss of religion in so many aspects of our country, where it was a foundation of our country at one time. You can't discount the rise of social media and the role that that has played in things like this. ",Black men are irresponsible
 By suppressing the evidence of the harms caused by the mRNA vaccines the MSM have sealed their own fate. The public will never believe anything from them again. It’s the end of these mouthpieces of big Pharma and the super wealthy elite. This is the end of the media control. ,Jewish people control the media
" President Obama sees America differently. He believes in an entitlement society...Even if we could afford the ever-expanding payments, an entitlement society is a fundamental corruption of the American spirit. The battle we face today is more than a fight over our budget, it’s a battle for America’s soul. We can’t begin to answer the question of who should be our next President until we start asking ourselves, Who are we as Americans, and what kind of America do we want for our children? I know that my answers to those questions are very different than those of the current President of the United States...He pushed through ObamaCare, an entitlement program we didn’t want and can’t afford. He’s refused to advance a responsible plan to strengthen existing entitlements.  ","People who receive aid from government social aid programs, primarily minorities, are lazy and undeserving"
" Without question we must defend ourselves and American interests from our enemies, but until we name the enemy, we can’t win the war. The enemy is radical Islam. You can’t get around it. And not only will I name the enemy, I will do whatever it takes to defend America from these haters of mankind. ",Muslim people as a whole are a threat
" I would like to make something very clear. Blue lives matter in America! There is some good news out of Baltimore, Maryland, as Lieutenant Brian Rice was acquitted on all charges. What we witnessed in Ferguson and Baltimore and Baton Rouge was a collapse of the social order, so many of the accidents of the occupy movement and Black Lives Matter transcends peaceful protest and violates the code of conduct we rely on. I call it anarchy.  _Speaker_: David Clarke (Milwaukee Sheriff) _Date_:",Black lives don't matter
 Just because you say you're non-binary doesn't make you special.,trans people are not to be taken seriously
 #elsagate is real. YouTube is producing scat porn and other gross content for kids. Remember who keeps doing this? #countersemite ,antisemite
" Because the ground of a RadFem worldview is male domination, the notion that a male could opt into a female identity is just another iteration of male entitlement and supremacy. RadFems are biological realistss, but not biological determinists. It is not merely biology per se that defines the category of woman—that would be biological essentialism. For RadFems, what unites and defines women as a group is the pervasive social oppression experienced by biologically female human beings. ",Signal that the speaker doesn't believe that trans people are real
 Did you see Kyle? He's about this tall..,White supremacist signal that is a play on Sieg Heil (Nazi salute)
" I can no longer remain in today’s Democratic Party that is now under the complete control of an elitist elitist cabal of warmongers driven by cowardly wokeness, who divide us by racializing every issue & stoke anti-white racism, actively work to undermine our God-given freedoms, are… ",Powerful group of Jewish people who control the world
" Of course, the deep state exists. There’s a permanent state of massive bureaucracies that do whatever they want and set up deliberate leaks to attack the president. This is what the deep state does: They create a lie, spread a lie, fail to check the lie and then deny that they were behind the lie. ",Jewish people are manipulating and controlling the government
" Woke-ism, multiCULTi, all the -isms — they're not who America is. They distort our glorious founding and what this country is all about. Our enemies stoke these divisions because they know they make us weaker. ",Too many Muslims
 Black people are worshipped in America through affirmative action and diversity racial quotas. White Trump supporters are shot in federal buildings and made fun of by celebrities.,Opposition to efforts to achieve gender or racial parity
" Hollywoods continue to do everything they can to support Radical Raphael and Jon Ossoff, as the cast of Whose Line Is It Anyway? hosts a virtual fundraiser for Georgia’s radical liberal Democrat candidates for Senate.",Jewish people who control the media
" That is not a protest. That is not a statement. It’s people -- a handful of people taking advantage of a situation for their own purposes, and they need to be treated as criminals...My understanding is, is you’ve got some of the same organizers now going back into these communities to try to clean up in the aftermath of a handful of criminals and thugss who tore up the place. What they were doing, what those community leaders and clergy and others were doing, that is a statement. That’s the kind of organizing that needs to take place if we’re going to tackle this problem. ",Black men are criminals or violent
 ,Obama is giving free handouts to other Black people
" What can I say, old german guys just wanna rule the world with their Windmill of friendship ",a swastika (aka I am a white supremacist)
" Hollywood liberalss continue to do everything they can to support Radical Raphael and Jon Ossoff, as the cast of Whose Line Is It Anyway? hosts a virtual fundraiser for Georgia’s radical liberal Democrat candidates for Senate.",Jewish people who control the media
" New sponsor: Acre Gold. Monthly gold subscription service. So when the big igloo happens and cash is useless, I can still buy guns and ammo for my roaming bandit gang. (Link below) ",Race war
" We have many criminal illegal alien. When we want to send them back to their country, their country says we don't want them. In some cases, they're murderers, drug lords, drug problems. ",Dangerous undocumented brown people
" Every day more women are joining the fight for women’s rights, a reality it seems the trans-rights activist never really planned for.",person who supports the transgender rights movement
" It must be soul-destroying work. Playing whack-a-mole on disposable Jwoke accounts achieves nothing in the long run. Once the truth of the JQ is known, it cannot be unknown, so progress is only in one direction. The awakening is moving faster than ever now. ",Antisemitic self-referential signal
" A mountain of evidence shows climate alarmists never learn from their mistakes, be they clear misstatements of facts or repeatedly failed prognostications.","Person who is overreacting about climate change, which the speaker does not view as a major problem"
 #fakenewsalert I said “end those Muslims” referring only to the radical terrorists who had killed 14 in CA the day before in 2015. And you deleted the last part of my quote “before they walk in and kill us”. Please correct your tweet. I was only advocating self defense. ,Muslim people as a whole are a threat
" As we offer opportunity, we must also demand responsibility. The problems of our society will only be solved if there is an upsurge of individual responsibility, if individuals take it upon themselves to meet their obligations, do the right thing, and give something back to those around them.",Opposition to public spending perceived to benefit racial minorities over white people
" Everyone hates you and that’s why you shut your replies on all your tweets, you megalomaniacal soy weirdo. [Quote tweet of Bill Gates]",liberal or establishment Republican men
" The cosmopolitan elite look down on the common affections that once bound this nation together: things like place and national feeling and religious faith. They regard our inherited traditions as oppressive and our shared institutions—like family and neighborhood and church—as backwards. What they offer instead is a progressive agenda of social liberation in tune with the priorities of their wealthy and well-educated counterparts around the world. And all of this—the economic globalizing, the social liberationism—has worked quite well. For some. For the cosmopolitan class. And yes, in this bargain there are lots of jobs—jobs on Wall Street, or in Hollywood, or in Silicon Valley. Because the truth is, the cosmopolitan economy has made the cosmopolitan class an aristocracy. ",Jewish
" Don’t worry guys our intelligence and federal law enforcement may be too busy to monitor foreign Islamic extremists, but rest assured if your grandmother took a selfie somewhere within 1500 miles of D.C. on J6 they’re watching her closely if she hasn’t been arrested already ",Muslim people as a whole are a threat
 This is the future they want for us. This is the “new world order” in it’s pure form.,Jewish people control the world
" Hillary Clinton's catastrophic immigration plan will bring vastly more radical Islamic immigration into this country, threatening not only our society but our entire way of life. When it comes to radical radical Islamic terrorism, ignorance is not bliss. It's deadly — totally deadly ",Muslim people as a whole are a threat
 I had the best day yesterday. Thank you ⁦@jk_rowling for bringing together so many of the women who’ve helped sustain each other through difficult times. #SisterhoodIsPowerful. #womenwontwheesht ,Trans people are silencing cis women
" The biggest scam that they have, the biggest con, is not just the appropriations process and how they fund it, it's the Federal Reserve...That's where we have these insane bills of trillians of dollars because the Federal Reserve will float money. The Federal Reserve is not owned by the American people...We need to end the Federal Reserve. The Federal Reserve as usurped its power and the power of the American people and our elective representives. No. They do not have the consent of the American people, we will not comply, and it must be ended...The American people will control their own bank in their own currency. We are at war. ",Jewish people control all the money
" You see the rot at the core of the system’s embracing of the neofascist wing of the ruling class, which is Donald Trump and company. And the neolib wing of the ruling class, which is Joe Biden and Kamala Harris. The reason some of us argue against Trump, in the form of a vote for a milquetoast, mediocre, centrist Biden — who’s head of a rotten Democratic establishment — is because we’re trying to stop the American march toward fascism. So that was part of the anti-fascist coalition.",Non-leftist liberals
 Calling all frens! we have to bops the non-frens and clowns! they are invadin our home:( ,"Kill or attack, particularly political opponents"
 Trans rights activists have claimed that natal women commonly experience sexual excitement from the simple thought of being women as a way of “normalizing” this phenomenon in AGP men. Research shows autogynephilia is actually rare/nonexistent in women ,Trans women are just men who have a fetish for being viewed as women
" We’re supposed to be shattering the boxes society puts us in, not trying to hop in our neighbor’s box.",Only sex assigned at birth matters
" Get out and vote. But they even want to try and rig the election at the polling booths where so many cities are corrupt. And you see that. And fraudulent voting is all too common. And then they criticize us for saying that. And we have even Republicans, Oh, that's such a terrible thing to say.",Disenfranchisement of minority voters
" Without a single Republican vote, Democrats authorized 87,000 more IRS agents – doubling the size of the agency – all to pull as many dollars as they can away from hardworking families and small businesses so they can fund liberal projects and appease their radical base with more handoutss. ",Any money that the government gives to support vulnerable people
" A reminder as to why I have never described myself as 'gender critical' (so please don't put that label on me...) Why? As an example, I am a secularist, and say I don't believe in God. I would not say I am 'God critical'. I am a gender abolitionist. I don't believe in it ",Transphobic signal based on belief that only sex assigned at birth matters
" I am announcing that I, along with 3 of my senior staff, are officially under self-quarantine after sustained contact at CPAC with a person who has since been hospitalized with the Wuhan Virus. My office will be closed for the week. ",Chinese people are infectious diseases and to blame for covid
" What we don’t do is teach our children to view everything through a lens of race, where we divide them into buckets – one group’s an oppressor and another group’s a victim – and we pit them against each other and we steal their dreams. We will not be a commonwealth of dream-stealers. We will be a commonwealth of dream-enablers and builders. We know it's not right. We're all created equal, and we're trying so hard to live up to those immortal words of Dr. Martin Luther King Jr., who implored us to be better than we are; to judge one another based on the content of our character and not the color of our skin. And so let me be clear, on day one, we will not have political agendas in the classroom and I will ban critical race theory.  ",Teaching anything about race and American history
" As we offer opportunity, we must also demand responsibility. The problems of our society will only be solved if there is an upsurge of personal responsibility, if individuals take it upon themselves to meet their obligations, do the right thing, and give something back to those around them.",Opposition to public spending perceived to benefit racial minorities over white people
" The Establishment has trillions of dollars at stake in this election. For those who control the levers of power in Washington and for the global global special interest, they partner with these people who don’t have your good in mind ",Jewish interests
 I have bad news for all the groomer and enablers—,LGBTQ people are predators
" It's not politics, because it's policy. It is in our budget. We have actually appropriated money to do just that. And it's meant to send a message. And I think that's what the governor did was expose the hypocrisy of those coastal elites.",Jewish people
" What we don’t do is teach our children to view everything through a lens of race, where we divide them into buckets – one group’s an oppressor and another group’s a victim – and we pit them against each other and we steal their dreams. We will not be a commonwealth of dream-stealers. We will be a commonwealth of dream-enablers and builders. We know it's not right. We're all created equal, and we're trying so hard to live up to those immortal words of Dr. Martin Luther King Jr., who implored us to be better than we are; to judge one another based on the content of our character and not the color of our skin. And so let me be clear, on day one, we will not have political agendas in the classroom and I will ban CRT.  ",Teaching anything about race and American history
" Why are jews now saying they arent white in order to claim a status of victimhood? For years, i kept seeing them refer to europeans as fellow white people when they wanted to fight our supposedly privilege. What changed?",Jewish people are masquerading as white people in order to tell them what to do
 Trans rights activists have claimed that natal women commonly experience sexual excitement from the simple thought of being women as a way of “normalizing” this phenomenon in AGP men. Research shows autogynophilia is actually rare/nonexistent in women ,Trans women are just men who have a fetish for being viewed as women
 Wait! What?,White supremacist symbol representing the insignia of the Nazi SS
" Just as in a previous generation we had an organized effort against the mob. We need to take these people on. They are often connected to big drug cartels, they are not just gangs of kids anymore. They are often the kinds of kids that are called superpredators—no conscience, no empathy. We can talk about why they ended up that way, but first, we have to bring them to heel. ",Black men are threatening
" I still believe the answer to any problem lies with the people. I believe in states' rights. I believe in people doing as much as they can for themselves at the community level and at the private level, and I believe we've distorted the balance of our government today by giving powers that were never intended in the Constitution to that federal establishment.",Racial segregation
 The La Creatura cope never ends,Americans aren't really white
 1.) See the creepiest & cringiest tweet of the day,the person being talked about is Jewish
" There are so many things we can talk about. The breakdown of the family structure, the lack of fathers, the lack of sort of a moral code in our society. This isn't just a racial thing-- it goes across racial boundaries ",Black men are irresponsible
 #fafo then they act surprised every single time. [Link to video of a car running over a person],White supremacist signal originating from fuck around and find out
" I wonder if the Mexican government sent him over here. Don't worry, we'll take our country back...The silent majority is back, and we're going to take the country back...we have to take our country back the heart of our country ",Give white Americans back full social and political control over the country
" As modern life brings changes in our society, it also puts stresses on families trying to adjust to new realities while maintaining cherished values. Economic uncertainty, unemployment, housing difficulties, women's and men's concerns with their changing and often conflicting roles, high divorce rates, threatened neighborhoods and schools, and public scandal all create a hostile atmosphere that erodes family structures and family values. Thus it is imperative that our government's programs, actions, officials and social welfare institutions never be allowed to jeopardize the family. We fear the government may be powerful enough to destroy our families; we know that it is not powerful enough to replace them. ",Opposition to gay marriage
 Kekistan ,White supremacist signal meaning lol that became an alt-right 4chan meme
" Every day more women are joining the fight for women’s rights, a reality it seems the trans activists never really planned for.",person who supports the transgender rights movement
 Kek ,White supremacist signal meaning lol that became an alt-right 4chan meme
 Do I look like I am ever going to pass?,the person who did this objectionable thing is Jewish
 Just a positively spectacular Cohencidences that,Jewish conspiracy
" If the left wants to know why it's losing influence over great swathes of America, it should imagine a white Rust Belt laborer who just lost his job to a machine being told to check his privilege by a champagne-guzzling New York intellectual who gets paid to express his opinions. ",Jewish people
" This is getting perilously close to co-opting intersex narrativesing, aka Co-opting Intersex Narratives, aka trying to use the health issues of people with Disorders of Sexual Development to bash women-who-stand-up-for-themselves over the head. ",Trans people are liars who appropriate intersex people's struggles
" Paglia has long made fun of fem*nists who claim to be independent but are oblivious to the working class men who keep their streets well-lit, clean, safe, without who they'd be helpless. Position of globalist SWPL's is the same though: conceited, snarky, but dependent... ",Politically progressive white person
 Das Kapital in a Nutshell. [Following text superimposed on image of Karl Marx] Gib me dat for free -Hungry Santa ,Black people are entitled and depend on government benefits
" I wrote an op-ed in the New York Times. It had a very simple message, very simple, common sense message grounded in American history and law, supported by a majority of Americans, arguing very simply if the police cannot, or especially if they are not allowed to, restore order, then it is time to send in the troops. And what happened next? Total meltdown with the little social justice warriors at the New York Times. All these children that have been marinated in the language of the campus seminar room. They said things like, “Your words put my life at risk,” as if typing on their phone, sitting on their futons was as dangerous as being a cop trying to stop rioters in the streets. Or, “Your words are violence.” Now, I’m sorry, Kiddo. Words are words. Violence is what your friends are doing out on the streets of America. ",liberals
2. Private comment on 1968 campaign ad,Black and Latino people are lawless and commit crimes
 I had the best day yesterday. Thank you ⁦@jk_rowling for bringing together so many of the women who’ve helped sustain each other through difficult times. #SisterhoodIsPowerful. women won't wheesht ,Trans people are silencing cis women
" Cultural Marxists assault not only our history but also the family, the chastity of women and Christianity, important pillars of our civilization. Cultural Marxists use education, entertainment and the media to create a new people that shares their values. ",Jewish people are upending society
" Ronald Lauder, Zios billionaire who gave Jeffrey Epstein Austrian passport w/fake name & the driving force behind privatizing Twin Towers so Larry Silverstein could get 99-year lease, calls for Apple, Spotify to remove Kanye's music ",Jewish people
